feature,f_score,p_value
surgery_performed,676.2864997622311,6.044572408226572e-140
surgery_duration_mins,676.1062122073455,6.544853952243124e-140
has_comorbidity,535.9805475214964,9.987541525337491e-113
charlson_comorbidity_index,507.05780906439026,4.9820239485686437e-107
has_infection,355.8298844320015,9.979266324247616e-77
num_medications,314.545112059081,2.6639079696340447e-68
num_procedures,252.3585642328253,1.7762936740368086e-55
admission_type,243.15273071679434,1.4512688692688529e-53
nosocomial_infection,205.10863124528643,1.2689114367544397e-45
malnutrition,195.0934785934016,1.6025933939172232e-43
severity_of_illness,165.30932054574401,3.0314554665449272e-37
age,124.55436031227951,1.3837135441531217e-28
functional_capacity_change,45.28645910839277,1.8933910938150237e-11
weight_loss,25.982724376021817,3.5718741097704616e-07
body_temperature,11.67617753143875,0.0006381052458747516
dietary_pattern_change,5.34975478858614,0.020765591973747853
gender,3.2072972963513573,0.07337098034112667
outpatient_visits_30d,2.2828075353044457,0.13087809978610407
hour_of_admission,1.3480920630258737,0.24566739195549125
bmi,1.1265950303333714,0.28855407742554023
admission_year,0.6132419156127046,0.43360687996621017
systolic_bp,0.30847033105053256,0.5786452291171647
insurance_type,0.1485718942452843,0.6999202634013288
blood_glucose,0.1477852578025991,0.7006772489506421
diastolic_bp,0.14665858811821927,0.7017654893066315
admission_month,0.07919862570349928,0.7783980099112606
marital_status,0.046660675937390865,0.8289881256627585
previous_admissions,0.023490851426716284,0.8781937096951172
weekend_admission,0.009896262971828503,0.9207611861161161
socioeconomic_status,0.005006683207655834,0.9435932539480292
